"NOM_MUN","Región","cve_mun","Agencias.de.cobranza.y.comunicaciones","Asociaciones.y.organizaciones.civiles","Comunicaciones.y.transportes.paqueteria","Consultorio.y.otros.servicios.medicos","Cultura.esparcimiento.y.deporte","Educacion.y.otros.sdervicios.educacion","Hospedaje","Servicios.de.belleza.y.funerarios","Servicios.y.mantenimiento.a.automoviles.diversos","Alimentos.y.bebidas","Alquileres.diversos","Banca.y.seguros","Comercio.minorista.diverso","Explotacion.de.animales","Industria.alimentaria.y.de.bebidas","Manufactura.metal.y.herreria","Maquiladoras.y.textileras","Minería.No.Metálicos","Organismos.operadores.de.agua","Servicios.de.publicidad","Tortillerías.y.panificadoras","Construccion","Fabricación.de.muebles","Fabricas.diversas","Industria.del.papel","Fabricación.de.material.de.construcción","Fertilizantes.y.agricultura","Generación..transmision..distribucion.energía.eléctrica","Industria.Química","Petroquimica","Turismo","Fabricación.de.carrocerías..y.equipo.de.transporte.etc","Fabricación.de.maquinaria","Fabricación.de.equipo.electrónico.y.eléctrico","Minería.Metálicos"
"Acatlán","Región Tulancingo",1,0.501615635,6.05945185,0.004247167,1.27732085,0.030222092,0.067294768,0.013576528,1.261602942,0.399847233,0.77367878,0.008914146,0.024934243,11.91479683,7.204610951,0.315334761,0.005739202,0.526652847,0.78537472,0.012844988,0.042063898,0.179546398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaxochitlán","Región Tulancingo",2,1.188294428,8.713520839,1.972006788,0.787033739,0.877028305,5.19131342,0.368155503,2.920880699,0.577420862,2.606741087,0.04138937,0.028943114,29.96459121,7.307702492,0.463261244,0.601239853,0.993788307,NA,0.279979974,0.135630103,1.624250079,0.001878471,68.9025805,0.270911487,0.005860057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actopan","Región Actopan",3,3.60745037,19.83291294,6.068204287,14.86163004,6.792893054,20.93606696,1.340915102,9.912687291,20.20719414,33.06473734,1.969684545,5.732096054,125.108608,0.088437856,0.799862296,1.590759219,14.8312515,0.002341783,4.244260943,1.14789081,16.21375581,0.05721268,1.780073819,1.080696765,0.456908908,0.241628694,0.16194332,0.077168867,0.131274568,59.42369364,0.08833272,NA,NA,NA,NA
"Agua Blanca de Iturbide","Región Tulancingo",4,0.620312388,5.179778416,0.03619073,0.302339928,0.028614095,0.809857912,1.372540282,0.330880358,1.29028417,0.787779574,0.00843986,0.053117081,7.800679323,12.39178145,0.026870135,0.048904574,0.011219214,NA,0.012161557,0.089608154,1.704656563,3.830459569,0.757920267,NA,NA,0.048762146,NA,NA,0.032564138,NA,NA,NA,NA,NA,NA
"Ajacuba","Región Tula",5,2.52904284,1.274433592,0.448571509,0.247787149,4.717369554,6.058631501,1.66765458,1.942581332,0.813158191,3.282791633,0.208494319,0.1457977,28.46755237,0.044795241,0.295016509,0.354464448,8.899728697,NA,0.352591947,0.061489932,3.528694463,0.605605542,0.176975681,0.016847979,NA,0.230567403,NA,NA,0.003142379,NA,NA,NA,NA,NA,NA
"Alfajayucan","Región Ixmiquilpan",6,0.225739233,7.950759385,0.010406121,0.804915294,3.373817775,1.084973683,0.033264291,1.33790436,0.811729143,1.239546433,0.021840838,0.169700545,9.681194034,20.85568367,0.697282251,0.224988856,0.088914503,0.198808719,0.462462391,0.02576553,2.227056762,NA,0.054482255,NA,0.049476878,0.007886728,NA,NA,NA,NA,NA,41.0291573,NA,NA,NA
"Almoloya","Región Apan",7,0.1035738,8.865194722,0.119363559,0.739960383,0.386994233,0.788407886,NA,0.220988886,0.484738307,1.546217462,0.360756913,0.015767075,10.44706258,NA,0.040378652,0.2322664,0.016859489,4.054112263,0.707558238,0.047287018,1.668340954,NA,2.755983014,0.116607971,0.012769317,NA,NA,NA,NA,NA,NA,87.1343355,NA,NA,NA
"Apan","Región Apan",8,1.261882453,8.766989514,3.080046275,5.080741324,3.845204814,6.999585569,0.318379172,4.128475188,6.565462379,10.74732932,0.941253191,3.239209382,77.23008237,0.170995854,0.970092093,1.591761177,0.312804994,NA,0.331328518,0.25878334,10.17947279,0.166970786,0.432361753,0.31127689,0.063384558,0.02586533,NA,2.569719351,62.70308474,NA,0.07590781,0.215294889,0.007629909,NA,NA
"Atitalaquia","Región Tula",10,1.830969144,7.246576488,33.40713771,0.900483401,1.16834903,15.72517378,0.67264755,1.810153021,3.088909337,4.930395527,17.25196707,1.235364237,37.09665383,0.330635728,20.21498847,11.10734718,0.07538418,0.794108194,0.478009715,0.046891149,4.437030959,4.041763662,0.239926338,0.012847975,0.122559693,0.057412792,NA,69.31338329,163.3789777,3.807004312,NA,NA,0.007527096,NA,NA
"Atlapexco","Región Huejutla",11,0.592783923,13.18787402,0.088536688,2.833129902,0.00437508,7.033378993,0.125785372,0.518056215,0.663092604,4.580486507,0.0051618,0.057753407,6.568393915,5.128101999,0.308588676,0.4785589,0.006861647,0.280755097,2.975192842,0.00608935,1.334973206,0.666368217,0.091563929,0.006673824,0.011693221,0.007455706,NA,0.208163985,NA,NA,NA,NA,NA,NA,NA
"Atotonilco de Tula","Región Tula",13,1.243387219,10.88555428,6.299869844,2.789959674,0.662192462,8.474359762,0.109818808,3.266784003,18.93942591,9.706121962,1.059548689,0.479363708,38.56696959,NA,0.290540984,46.0638869,1.408471704,4.667360423,5.779699731,0.085062379,5.718895919,0.338252143,0.360984766,0.342479433,0.191701253,200.4885531,NA,0.003379476,2.168199383,0.117494316,NA,0.511130594,NA,0.685613892,NA
"Atotonilco el Grande","Región Zacualtipán",12,0.899868242,8.71686256,0.148004048,3.299668828,0.131190817,3.919623575,1.238028165,6.531765825,4.006088164,5.093254407,0.671794086,0.947260248,31.40332407,9.237486162,0.769969084,0.799992138,0.630118102,NA,0.204835766,0.025677395,5.159493283,0.078053392,0.525530598,0.050030199,0.136965654,0.560468148,9.096650027,0.007254379,0.00233283,NA,NA,NA,NA,NA,NA
"Calnali","Región Huejutla",14,1.163997177,11.58638393,0.388940488,1.039861765,0.020333623,4.888905797,0.447584505,0.733862944,0.229224018,0.731178398,0.149937406,0.091335581,9.917769248,2.061710193,0.233905635,0.868808836,0.049828431,NA,0.384097444,0.531427406,0.913550004,NA,0.804560328,0.007754317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardonal","Región Ixmiquilpan",15,0.307288725,7.959930031,NA,0.037872234,0.036287425,2.348554438,163.0122933,0.056414401,0.025567104,1.121507787,0.010703144,0.067361281,0.591503122,0.588693167,0.034075794,0.027564054,0.056911309,1.924475869,6.169149864,0.113638022,0.215579932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.288776539,NA,NA
"Chapantongo","Región Huichapan",17,0.397146819,8.117305761,NA,0.789094949,0.130274111,2.352566039,0.131675458,0.542314962,0.308507952,0.640591171,0.153699811,0.167938321,5.018614618,0.033022579,0.068812998,0.098956667,1.319889965,0.276359516,0.615211977,NA,0.839784445,NA,0.170402747,0.270483315,NA,0.055501014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chapulhuacán","Región Jacala",18,0.322483789,9.379921296,0.789103563,1.64252177,0.043716347,0.850869187,0.513025216,0.323530186,0.257057878,3.702644523,0.051577357,0.74851106,13.90844468,NA,0.018245307,0.033207089,0.017140611,NA,5.161198213,0.060845555,1.282540276,NA,0.228729579,NA,0.116840141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chilcuautla","Región Ixmiquilpan",19,0.053167561,6.708079025,0.005514563,0.625824547,0.088291481,1.821025336,0.863766917,0.163353992,0.248830819,1.531095954,NA,0.129499454,4.021667188,4.52695928,0.009212259,0.067066516,NA,NA,0.118599518,0.054616174,1.657776288,0.373546449,0.012832012,NA,0.026219506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuautepec de Hinojosa","Región Tulancingo",16,0.770551353,5.542950312,0.183475499,2.698513373,1.081150241,8.9605981,0.067799314,4.208836709,8.764115732,8.579936877,1.165888407,0.427519595,61.61184961,1.544058077,0.56690583,0.733478026,33.25491015,0.329653552,4.994073699,0.040885637,2.933632242,0.236684471,6.560453781,0.044809961,0.113056746,0.162193551,NA,0.004158364,0.009509174,NA,0.376094494,NA,0.009450828,NA,NA
"El Arenal","Región Actopan",9,0.009286948,3.695539989,0.015411942,0.198883133,NA,1.248217718,2.189597224,0.68198743,0.482934179,4.80795512,0.03234728,0.090480337,8.930329685,0.0277994,0.231715402,0.020826174,0.010749914,NA,0.517903939,0.009539982,1.346326615,0.345164854,0.080690712,3.643215789,NA,0.011680606,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eloxochitlán","Región Zacualtipán",20,NA,14.85252541,NA,0.057035772,NA,0.06262555,NA,0.047790207,0.072796975,0.032654204,NA,NA,0.372271975,18.62422826,NA,NA,NA,NA,1.951706963,0.035951164,0.086318258,NA,0.135147006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emiliano Zapata","Región Apan",21,0.473243244,5.601811097,0.141350373,1.249292219,0.867266915,1.983135716,0.278943115,1.367223505,0.831709636,3.06899182,1.549962723,0.105846803,18.0429502,NA,0.327992418,0.298448308,2.429730597,0.097977169,0.034897573,0.100441595,3.688957217,0.215433378,NA,0.565578261,55.30466039,17.3176471,NA,0.010215635,0.19309069,NA,NA,NA,NA,NA,NA
"Epazoyucan","Región Mineral de la Reforma",22,0.160327567,5.573225323,0.055892744,0.368454911,0.555497303,1.220419824,0.094501657,0.67047841,0.231590439,0.99832002,0.139608855,0.02440672,9.927415656,NA,0.111118811,0.901341551,0.026097728,7.25222038,0.08940965,0.010293493,0.51290291,0.006336196,0.009673781,0.501399657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francisco I. Madero","Región Actopan",23,2.913552352,4.245606141,0.08066926,2.305905508,2.843858971,9.12432905,0.002414997,6.552428246,5.79399434,10.48473202,2.977500211,0.070964971,57.75113932,NA,0.592470088,0.638056812,0.35622264,33.56357192,4.626862398,0.119717422,10.54035049,0.00460578,1.582170833,0.002050129,0.032328318,0.229031481,0.443616361,NA,0.001529509,NA,NA,NA,NA,NA,NA
"Huasca de Ocampo","Región Mineral de la Reforma",24,0.041245372,6.775759152,0.017111953,0.441379221,NA,0.051253776,109.9489343,0.352010598,0.238312948,0.8990201,0.008978835,2.110373438,3.927704091,19.29112903,1.270492448,0.00578085,NA,NA,0.575031224,0.142407425,0.138462782,NA,NA,0.011608967,0.020340095,NA,NA,NA,0.008660926,NA,NA,NA,NA,NA,NA
"Huautla","Región Huejutla",25,0.631339265,9.625821901,0.36792524,0.738527019,0.184723719,1.394732492,0.010336929,0.32196129,0.952940664,3.27536859,0.108593174,0.329591877,7.345612193,NA,1.561187287,0.528736925,0.0563884,0.247120437,0.212985509,0.008006677,2.326094751,NA,0.752464132,0.035100726,NA,0.009803251,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huazalingo","Región Huejutla",26,0.218974787,13.85507477,NA,0.327745104,0.017957305,0.45986617,NA,0.008306004,0.022492825,0.204312433,0.021186361,NA,1.352126783,0.291322475,0.269805605,0.013640431,NA,NA,0.21709398,0.024993446,1.126834273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huehuetla","Región Tulancingo",27,0.957912177,11.29236951,0.257893883,0.569833695,0.176748303,1.786275807,0.220555022,0.735781254,0.124531904,1.588926652,0.052132731,0.064810354,11.43849962,0.179212421,0.37344582,0.093235155,0.492805046,NA,0.059355283,0.027333656,6.783356028,NA,1.444953068,NA,0.013122028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla de Reyes","Región Huejutla",28,6.370275644,26.75997613,2.609875176,20.83158903,0.621702174,27.53058509,2.934312057,8.5089522,10.20863877,35.68787803,1.466119321,5.389069173,158.4835247,0.01517834,4.667710665,1.808443986,1.79750433,NA,0.594530414,1.485725486,9.7272158,0.742947932,14.09870234,164.1210388,0.308712789,0.364071784,NA,0.005886344,0.000473226,NA,0.074865658,NA,NA,NA,NA
"Huichapan","Región Huichapan",29,1.076977143,8.21297582,1.329563361,15.30661144,0.643844595,7.422307691,1.650582194,1.545093321,5.124743911,6.662874539,0.780866866,2.892053252,42.95146448,0.004533477,0.523546788,13.98377605,8.920434925,12.46381197,5.138477058,0.350046773,4.634114675,0.056288875,0.210542383,0.170509018,0.074687304,82.14761202,NA,0.703254972,0.001272091,NA,0.022360926,NA,NA,NA,NA
"Ixmiquilpan","Región Ixmiquilpan",30,4.619662456,36.98962819,1.178577085,13.80891399,17.06832763,22.14402599,8.476760221,8.996991659,25.51478843,55.43852304,2.208817607,4.20765086,160.2930838,0.011451517,1.91503605,1.914224819,1.4951587,0.001895185,0.554723121,1.363225583,20.21950457,4.292604133,4.556604277,0.097177602,0.754637495,0.44575317,NA,11.4663594,0.001807475,NA,0.19857471,0.007356226,0.02270985,NA,NA
"Jacala de Ledezma","Región Jacala",31,0.07949108,10.8355562,0.527670404,8.161966118,0.179673508,1.640303724,0.387280224,0.820888716,1.250428037,2.871508576,1.730466399,0.565047335,10.66560058,NA,0.086083082,0.278531877,0.005750828,0.381153885,1.108241996,0.326627638,2.478549443,0.003141513,0.119907527,NA,0.009800228,NA,NA,44.15687405,NA,NA,NA,NA,NA,NA,NA
"Jaltocán","Región Huejutla",32,0.418825139,6.184048416,0.644519785,0.329167287,0.015265016,1.102658318,NA,0.213586402,0.076482152,1.681055102,0.072039795,NA,5.676079869,NA,6.833248042,0.072470994,54.58664914,NA,0.046136421,0.005311562,8.694861667,NA,0.843611416,13.22682534,0.040798619,NA,NA,NA,3.166098111,NA,NA,NA,NA,NA,NA
"Juárez Hidalgo","Región Zacualtipán",33,NA,14.32597668,NA,0.008328353,NA,0.130507713,0.048194939,0.11165308,0.033595421,0.060278974,NA,NA,0.463688903,0.108780259,0.402983308,NA,NA,NA,2.026580632,0.037330365,0.487983922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Misión","Región Jacala",40,0.094885013,16.15961578,NA,NA,0.07003049,0.448350323,0.12583787,0.072882061,0.021929565,0.297564537,NA,0.057777511,1.946948901,NA,0.065762301,NA,NA,NA,0.029764346,0.024367567,0.318533745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolotla","Región Huejutla",34,NA,7.328519616,NA,0.204418464,NA,0.648667575,0.357839101,0.027405119,NA,0.052015092,NA,0.598809225,0.435669382,NA,NA,0.011251429,NA,3.142223312,0.025181982,0.020616063,0.049498888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.544195
"Metepec","Región Tulancingo",35,0.308623602,1.443385855,0.005121692,0.196470831,0.404945109,0.648136508,NA,0.269717799,0.482178939,0.677022297,0.010749639,0.0075171,7.153784616,18.9857098,0.008555955,1.627191884,0.128606704,8.523806256,0.688438772,NA,0.977706966,NA,0.190685263,0.125086364,0.024351565,0.139741041,NA,1.895259165,NA,NA,NA,NA,NA,NA,NA
"Metztitlán","Región Zacualtipán",37,0.394524061,13.23072486,0.023017618,3.120762244,0.163789316,2.707446378,0.178041327,0.759698431,0.569883283,2.509717754,0.238569964,0.375365825,12.19047635,0.820112437,0.251122754,0.124414933,0.007135518,NA,0.343771378,0.006332396,1.201303452,0.003897929,0.095218541,0.006940198,0.048639742,0.007753287,NA,0.016101259,NA,NA,NA,NA,NA,NA,NA
"Mineral de la Reforma","Región Mineral de la Reforma",51,3.764398693,36.87288024,7.589785004,6.91267007,3.375473306,44.25267491,2.814209368,19.39610808,19.45193346,55.83889201,11.37231317,10.00745498,250.0046859,NA,35.89638877,9.355225424,9.45237102,NA,0.777630155,6.797945383,12.67190574,24.34531954,3.473424099,33.27242516,0.804116811,8.977466988,NA,0.003613065,3.263700493,NA,0.41357591,4.185191332,3.016589807,0.001030786,NA
"Mineral del Chico","Región Mineral de la Reforma",38,NA,4.006507096,0.009225458,0.22649182,0.065646735,0.054158959,14.70904339,0.068319803,0.128480142,3.328809626,NA,0.121861722,1.08610536,10.12481104,0.061645725,0.049865488,0.231653076,NA,0.027901163,0.022842211,0.219375353,NA,0.193203114,0.025034673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mineral del Monte","Región Mineral de la Reforma",39,0.332842132,3.402544984,0.730496805,0.847553717,1.494681897,8.19047261,12.24401071,2.100949984,1.821939298,19.38175773,0.289829814,0.050668671,20.7724724,NA,0.693077588,0.186601351,0.042808278,1.252009273,0.185615607,0.013676432,4.135426104,0.093539741,0.205648853,0.734467695,0.006565625,0.004186303,NA,NA,NA,NA,NA,NA,NA,NA,1.788144246
